Cu,Fe,Cr,Al,Si,Pb,Sn,Ni,Na,B,P,Zn,Mo,Ca,Mg,TBN,V100,V40,OXI,TAN,delta_visc_40,metal_sum,iron_to_copper_ratio,water_flag,antifreeze_flag,label
5,6,0,1,3,18,1,0,8,1,44,38,2,196,0,3.56,12.83,161.5,9,0.07,11.5,31,1.2,0,0,normal
6,8,0,0,3,18,0,0,5,4,52,36,0,395,2,3.07,15.7,149.8,0,0.09,-0.2,32,1.33,0,0,normal
6,13,0,0,2,22,1,0,19,3,50,89,0,116,1,2.35,16.9,158.8,9,0.18,8.8,42,2.17,0,0,normal
6,11,1,0,1,15,1,0,0,3,48,92,1,300,2,3.03,13.05,154.9,5,0.14,4.9,34,1.83,0,0,normal
6,6,0,0,2,23,2,0,14,2,30,62,3,323,3,3.6,14.59,162,1,0.12,12,37,1,0,0,normal
2,10,1,2,2,22,3,0,17,1,52,69,2,368,3,2.71,14.56,150.9,7,-0.04,0.9,40,5,0,0,normal
6,7,0,2,4,20,4,0,9,4,44,74,3,156,4,2.95,17.15,149.3,10,0.06,-0.7,39,1.17,0,0,normal
4,12,1,0,3,23,2,0,6,0,40,80,2,492,7,2.72,15.34,149.9,4,0.15,-0.1,42,3,0,0,normal
8,11,0,2,1,20,5,0,18,4,66,88,1,332,3,1.87,15.64,148.5,9,0.08,-1.5,46,1.38,0,0,normal
2,7,0,1,4,12,1,1,2,2,59,97,2,361,0,1.43,17.8,161.5,4,0.11,11.5,23,3.5,0,0,normal
3,6,0,1,3,26,4,0,10,3,57,79,0,457,1,3.14,15.65,153.9,14,0.09,3.9,40,2,0,0,normal
8,13,0,0,2,16,0,0,11,4,48,34,2,236,4,3.23,15.42,144.6,12,0.13,-5.4,37,1.62,0,0,normal
4,7,1,1,0,18,3,0,14,6,45,69,1,415,3,2.47,14.51,148.9,6,0.06,-1.1,34,1.75,0,0,normal
2,10,0,2,2,17,1,1,1,3,68,79,1,243,4,2.07,15.03,152.2,4,-0.01,2.2,32,5,0,0,normal
5,12,1,2,2,26,4,0,12,8,42,74,0,283,1,3.04,12.37,162,5,0.14,12,50,2.4,0,0,normal
3,9,0,2,1,19,2,0,4,1,42,91,2,117,2,2.38,13.95,154.8,0,0.04,4.8,35,3,0,0,normal
8,10,0,2,2,20,4,0,5,1,45,35,0,199,1,1.41,13.79,157.9,2,0.1,7.9,44,1.25,0,0,normal
5,7,0,1,3,19,1,0,11,4,68,76,1,414,0,1.5,14.74,151.5,6,0.11,1.5,33,1.4,0,0,normal
4,7,1,0,0,20,2,0,10,5,51,62,0,328,4,2.31,16.22,156.8,6,0.05,6.8,34,1.75,0,0,normal
5,13,0,2,2,19,1,0,9,5,65,57,1,335,5,1.48,14.35,146.6,8,0.1,-3.4,40,2.6,0,0,normal
3,7,1,0,3,18,6,0,17,3,68,37,1,334,6,2.72,15.74,134.6,2,-0.02,-15.4,35,2.33,0,0,normal
5,13,1,1,2,19,5,0,11,4,44,73,1,168,3,2.73,15.45,150.8,7,0.02,0.8,44,2.6,0,0,normal
6,7,0,2,2,15,1,1,14,4,69,83,2,377,2,3.3,13.28,147.5,6,0.07,-2.5,31,1.17,0,0,normal
11,9,0,0,2,24,2,0,7,4,48,31,2,252,2,1.31,13.67,159.3,4,0.1,9.3,46,0.82,0,0,normal
3,15,0,2,3,25,1,0,8,3,58,87,2,459,3,3.15,16.62,143.7,5,0.17,-6.3,46,5,0,0,normal
5,9,0,2,3,22,6,0,0,3,47,89,0,128,1,2.93,14.15,149.5,2,-0.02,-0.5,44,1.8,0,0,normal
4,6,0,0,3,21,0,0,15,3,61,71,2,412,3,1.28,16.14,148.6,10,0.03,-1.4,31,1.5,0,0,normal
2,14,0,0,2,20,0,0,5,4,52,72,0,273,2,2.95,13.82,152.9,8,0.06,2.9,36,7,0,0,normal
5,3,0,0,2,23,2,0,16,3,42,67,1,465,1,3.97,15.11,147.7,5,0.13,-2.3,33,0.6,0,0,normal
7,11,0,0,6,21,2,1,0,4,65,73,5,178,3,2.99,12.47,135,10,0.17,-15,41,1.57,0,0,normal
6,11,1,0,0,18,2,0,17,4,40,99,1,387,3,3.44,16.86,149.4,6,0.09,-0.6,38,1.83,0,0,normal
5,12,0,1,1,20,0,0,3,2,50,47,2,405,2,2.16,14.26,140.7,14,0.04,-9.3,38,2.4,0,0,normal
3,9,0,1,1,16,2,1,11,2,54,47,3,445,0,2.57,15.8,146.6,7,0.15,-3.4,31,3,0,0,normal
8,12,0,1,2,19,1,0,7,0,60,80,1,150,2,1.6,14.25,160.6,12,0.15,10.6,41,1.5,0,0,normal
8,7,1,0,1,22,5,0,8,2,39,69,0,183,2,2.21,17.39,158.1,11,0.11,8.1,43,0.88,0,0,normal
5,8,0,3,1,16,2,0,11,2,66,74,0,173,4,1.89,12.48,142.7,1,0.15,-7.3,34,1.6,0,0,normal
3,9,0,0,2,21,1,0,17,4,51,41,1,128,4,1.76,15.22,156.8,13,0.08,6.8,34,3,0,0,normal
5,7,0,2,1,15,1,0,7,3,36,43,0,215,1,3.36,13.86,137.6,8,0.05,-12.4,30,1.4,0,0,normal
8,7,0,1,1,18,2,0,19,3,58,99,2,428,3,1.28,13.61,147.6,1,0.06,-2.4,36,0.88,0,0,normal
7,14,0,1,4,15,5,1,19,2,35,67,1,413,1,1.62,14.68,143.3,1,0.12,-6.7,42,2,0,0,normal
3,14,1,1,3,19,1,0,9,1,37,68,0,195,1,2.43,14.07,158.7,7,0.11,8.7,39,4.67,0,0,normal
6,12,0,1,1,17,1,0,15,2,58,85,0,381,3,2.12,16.26,156.9,4,0.11,6.9,37,2,0,0,normal
3,18,1,1,4,27,4,0,14,0,58,35,0,348,4,2.37,15.86,148.2,7,0.05,-1.8,54,6,0,0,normal
4,7,0,0,3,18,5,0,9,3,40,81,0,312,3,1.12,15.23,148.5,5,0.14,-1.5,34,1.75,0,0,normal
